"!,",,,,,,,,,,,
"@Media: #label",%+Propriétaire,+Pdg,+actionnaires,%+investisseurs,%+salarié⋅es,+Pages,image,shape[square],size[0.5],Nom,+Autres_sources
Mediapart,,,,,Mauduit,,https://www.mediapart.fr/images/social/800/mediapart.png,,,Mediapart,https://www.liberation.fr/checknews/2017/10/02/est-ce-que-xavier-niel-est-un-actionnaire-de-mediapart_1652506
Esprit,,,,,,,https://esprit.presse.fr/img/logo.png,,,Esprit,
Le_1,,,Hermand,,,,https://upload.wikimedia.org/wikipedia/fr/thumb/2/21/Le_1_logo.svg/langfr-100px-Le_1_logo.svg.png,,,"Le 1",
Paris_Match,Lagardère_A,,,,,16,,,,"Paris Match",
Grasset,Hachette,,,,,17,,,,Grasset,
Hachette,Lagardère_A,,,,,17,,,,Hachette,
Lagardère,Lagardère_A,,,,,17,,,,Lagardère,
Bestimage,,Mimi,,,,18,,,,Bestimage,
FranceTV,,,,,"Ernotte, Delahousse",,,,,FranceTV,
Libération,Drahi,,,,,34,,,,Libération,
Marianne,Kretinsky,,,,,34,,,,Marianne,
Le_Monde,LML,Dreyfus,,Kretinsky,,"34, 42",,,,"Le Monde",
Elle,,,,Kretinsky,,34,,,,Elle,
Le_Parisien,LVMH,,,,,40,,,,"Le Parisien",
Les_Echos,LVMH,,,,,40,,,,"Les Echos",
La_Tribune,,,,LVMH,,40,,,,"La Tribune",https://fr.wikipedia.org/wiki/La_Tribune_(France)
Le_Figaro,GIMD,,,,,41,,,,"Le Figaro",
LObs,LML,Dreyfus,,,,42,,,,L'Obs,https://www.monde-diplomatique.fr/cartes/PPA#&gid=1&pid=1
Les_Inrockuptibles,LNEI,Dreyfus,,,,42,,,,"Les inrockuptibles",https://www.monde-diplomatique.fr/cartes/PPA#&gid=1&pid=1
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
