"!,",,,,
"@PartiAsso: #id",image,shape[square],size[0.5],label
UMP,https://upload.wikimedia.org/wikipedia/fr/thumb/9/90/Logo_de_l%27UMP.svg/1200px-Logo_de_l%27UMP.svg.png,,,UMP
EM,https://upload.wikimedia.org/wikipedia/commons/3/34/En_marche_logo.png,,,"En Marche"
Teach_for_France,http://www.sciencespo.fr/public/sites/sciencespo.fr.public/files/TFF_1.jpg,,,Teach
Institut_Montaigne,http://www.entreprise.news/wp-content/uploads/2016/04/Institut-Montaigne.jpg,,,Montaigne
Fondation_Jean-Jaurès,https://jean-jaures.org/sites/all/themes/fjj/img/logo_long.png,,,"Jean Jaurès"
Terra_Nova,https://upload.wikimedia.org/wikipedia/fr/4/4e/Terra_Nova_logo.png,,,"Terra Nova"
PS,,,,"Parti Socialiste"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
